file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-43.82279079861111,-53.19737830528846,3.8387825073611133,11.443148868500742
F2BJRLP1,0.0,25.309125,corpus,-46.2174751827341,-46.78322980082627,3.731915572388564,8.056224926710957
F2BJRLP3,0.0,30.7068125,corpus,-46.53673477694562,-47.45528585164501,3.611022182959109,10.315558455279426
F2BJRLP2,0.0,28.6474375,corpus,-45.46592495636998,-46.118803007108674,3.2097899878016025,7.939014896872784
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-43.24603700060533,-53.15775326320103,2.687148782252222,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.53230710373711,-49.89853286743164,2.5343264994297527,12.358243745435463
